Program,Worker,Count,CPU_Percent,Memory_KB,IO_Read_KB,IO_Write_KB,Real_Time_Sec,User_Time_Sec,Sys_Time_Sec
A,cpu,2,0,856,0,0,2.094,4.098,.003
A,cpu,3,0,844,0,0,3.031,6.058,0
A,cpu,4,0,856,0,0,4.035,8.064,0
A,cpu,5,0,856,0,0,5.042,10.074,0
A,mem,2,0,860,0,0,16.713,32.686,.017
A,mem,3,0,856,0,0,26.511,50.206,.004
A,mem,4,0,848,0,0,36.908,73.485,.016
A,mem,5,0,848,0,0,48.665,96.371,.041
A,io,2,0,856,1280,1280,5.355,.097,2.578
A,io,3,0,856,1920,1920,6.464,.166,4.211
A,io,4,0,856,2560,2560,7.580,.257,6.054
A,io,5,0,856,3200,3200,8.680,.298,7.826
B,cpu,2,117.0,840,0,0,2.107,4.164,.004
B,cpu,3,139.8,925,0,0,3.072,6.113,.008
B,cpu,4,124.3,852,0,0,4.083,8.151,0
B,cpu,5,185.4,934,0,0,5.097,10.181,0
B,cpu,6,171.5,856,0,0,6.106,12.198,0
B,cpu,7,171.5,885,0,0,7.108,14.204,0
B,cpu,8,196.0,856,0,0,8.148,16.260,.004
B,mem,2,189.4,17200,0,0,18.147,36.026,.032
B,mem,3,202.9,22476,0,0,28.422,53.138,.016
B,mem,4,202.5,33136,0,0,40.636,80.862,.020
B,mem,5,194.7,37801,0,0,48.038,95.163,.041
B,mem,6,198.9,44203,0,0,55.360,110.568,.052
B,mem,7,201.4,56771,0,0,67.445,134.801,.024
B,mem,8,196.9,65718,0,0,76.905,153.675,.048
B,io,2,44.8,860,1280,1280,5.066,.047,2.453
B,io,3,53.0,860,1920,1920,6.500,.162,4.003
B,io,4,75.0,856,2560,2560,7.771,.252,5.795
B,io,5,84.6,870,3200,3200,9.191,.224,7.709
B,io,6,88.0,856,3840,3840,11.024,.270,9.478
B,io,7,88.2,856,4480,4480,12.822,.353,10.970
B,io,8,75.9,869,5120,5120,14.835,.388,12.800
